bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference,source_file,source_row,cluster_id,duplicate_family_id,agent_suggested_severity,agent_suggested_bug_type,agent_suggested_root_cause_category,agent_suggestion_confidence,agent_suggestion_rationale,agent_review_status,cluster_name,cluster_investigation_score,hypothesis_ids,hypothesis_summary,action_ids,requires_human_review
RUN-1023,Flexbox com devicePixelRatio,Alto,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falha no State Management,UI Components,Pace Display,HMG,Fechado,2026-06-15,2026-06-20,2026-06-22,false,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1023,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,12,CL-001,DF-006,low,visual,implementation,high,As regras encontraram 6 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1026,Cache com respostas de erro,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Em Análise,2026-06-15,2026-06-20,unknown,false,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1026,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,13,CL-001,DF-002,medium,performance,integration-contract,medium,As regras encontraram 4 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1030,Resultado de busca não validado,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1030,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,14,CL-001,DF-004,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1031,Android 12+ notificação,critical,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1031,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,15,CL-002,DF-001,critical,security,process,medium,As regras encontraram 4 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1033,Float32 vs Float64,Alto,Perda de precisão de float no cálculo de pace médio causa detecção errônea de negative split,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Perda de Precisão de Float,Data Processing,Pace Calculation,PRD,Fechado,2026-06-15,2026-06-20,2026-06-22,false,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,1.2.3,Backend,TRACK-1033,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,16,CL-003,DF-003,medium,visual,test-gap,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,52,HY-003,Mecanismo plausível ligado a test-gap no cluster Bug · quebras visuais.,AC-007|AC-008|AC-009,true
RUN-1038,iOS 14+ nega localização,Médio,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Permissão de Localização (OS),UI Components,Pace Display,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1038,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,17,CL-001,DF-006,low,visual,implementation,high,As regras encontraram 6 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1040,Modo offline não funciona,Médio,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,UI Components,Pace Display,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1040,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,18,CL-001,DF-006,low,visual,implementation,high,As regras encontraram 6 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1041,API timeout sem fallback,critical,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1041,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,19,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1044,Manifest desatualizado,critical,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Reaberto,2026-06-15,2026-06-20,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1044,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,20,CL-002,DF-001,critical,security,process,medium,As regras encontraram 4 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1046,User nega permissão,critical,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1046,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,21,CL-002,DF-001,critical,security,process,medium,As regras encontraram 4 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1057,Latência de rede spike,critical,O cluster retorna timeout durante operações de sincronização em background,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Backend,Location Services,PRD,Reaberto,2026-06-15,2026-06-20,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Backend,TRACK-1057,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,22,CL-002,DF-001,unknown,performance,process,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1062,Treino não sincroniza após falha,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,unknown,false,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1062,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,23,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1064,Cards renderizados não detectados,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Em Análise,2026-06-15,2026-06-20,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1064,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,24,CL-001,DF-004,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1066,Memory leak em goroutine,Alto,Cluster retorna timeout durante sincronização com API de terceiros,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Timeout no Cluster,Backend,Strava Sync,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1066,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,25,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1068,Query N+1 não otimizada,critical,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 12; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),unknown,unknown,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,26,CL-002,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
