bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference,source_file,source_row,cluster_id,duplicate_family_id,agent_suggested_severity,agent_suggested_bug_type,agent_suggested_root_cause_category,agent_suggestion_confidence,agent_suggestion_rationale,agent_review_status,cluster_name,cluster_investigation_score,hypothesis_ids,hypothesis_summary,action_ids,requires_human_review
UNKNOWN-L12,App crasha ao finalizar treino intervalado de pista [23],Alto,Problema geral de interface/interação na aba Cálculo de Pace e Distância durante a corrida.,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,unknown,unknown,Falha no State Management,unknown,Cálculo de Pace e Distância,unknown,Fechado,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,12,CL-004,DF-004,medium,visual,implementation,high,As regras encontraram 5 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cálculo De Pace E Distância · quebras visuais,27,unknown,unknown,unknown,true
UNKNOWN-L13,Playwright não encontra botão 'Iniciar Corrida' após animação inicial [26],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,13,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L14,Cálculo de Negative Split apresenta falso positivo em treinos longos [30],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,14,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L15,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [31],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Permissão de Localização (OS),unknown,Rastreamento GPS,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,15,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L16,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [33],Alto,A flag de 'Negative Split alcançado' está acendendo mesmo quando a segunda metade da corrida foi 2 segundos mais lenta.,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,unknown,unknown,Perda de Precisão de Float,unknown,Análise de Negative Split,unknown,Fechado,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,16,CL-003,DF-003,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Análise De Negative Split · quebras visuais,28,HY-003,Mecanismo plausível ligado a implementation no cluster Análise De Negative Split · quebras visuais.,AC-007|AC-008|AC-009,true
UNKNOWN-L17,App crasha ao finalizar treino intervalado de pista [38],Médio,Problema geral de interface/interação na aba Cálculo de Pace e Distância durante a corrida.,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,unknown,unknown,Permissão de Localização (OS),unknown,Cálculo de Pace e Distância,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,17,CL-004,DF-004,medium,visual,implementation,high,As regras encontraram 5 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cálculo De Pace E Distância · quebras visuais,27,unknown,unknown,unknown,true
UNKNOWN-L18,Distância total diverge em 300m comparado ao relógio [40],Médio,Problema geral de interface/interação na aba Cálculo de Pace e Distância durante a corrida.,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Cálculo de Pace e Distância,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,18,CL-004,DF-004,medium,visual,implementation,high,As regras encontraram 5 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cálculo De Pace E Distância · quebras visuais,27,unknown,unknown,unknown,true
UNKNOWN-L19,Cálculo de Negative Split apresenta falso positivo em treinos longos [41],critical,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,19,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L20,Sincronização com Strava falha silenciosamente [44],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Permissão de Localização (OS),unknown,Rastreamento GPS,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,20,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L21,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [46],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Permissão de Localização (OS),unknown,Rastreamento GPS,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,21,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L22,Sincronização com Strava falha silenciosamente [57],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Timeout no Cluster,unknown,Rastreamento GPS,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,22,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L23,Playwright não encontra botão 'Iniciar Corrida' após animação inicial [62],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,23,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L24,Erro de hidratação na tela de Análise de Pace [64],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,24,CL-005,DF-005,medium,visual,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L25,Pace instantâneo oscila para 1:30/km em áreas de sombra de GPS [66],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Timeout no Cluster,unknown,Integração Strava,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,25,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L26,Webhook do Strava não atualiza status do treino no cluster [68],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Timeout no Cluster,unknown,Rastreamento GPS,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,26,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L27,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [69],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Timeout no Cluster,unknown,Integração Strava,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,27,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L28,Pace instantâneo oscila para 1:30/km em áreas de sombra de GPS [70],Alto,Problema geral de interface/interação na aba Cálculo de Pace e Distância durante a corrida.,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Cálculo de Pace e Distância,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,28,CL-004,DF-004,medium,visual,implementation,high,As regras encontraram 5 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cálculo De Pace E Distância · quebras visuais,27,unknown,unknown,unknown,true
UNKNOWN-L29,App crasha ao finalizar treino intervalado de pista [10],Médio,A flag de 'Negative Split alcançado' está acendendo mesmo quando a segunda metade da corrida foi 2 segundos mais lenta.,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,unknown,unknown,Perda de Precisão de Float,unknown,Análise de Negative Split,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,29,CL-003,DF-003,high,visual,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Análise De Negative Split · quebras visuais,28,HY-003,Mecanismo plausível ligado a implementation no cluster Análise De Negative Split · quebras visuais.,AC-007|AC-008|AC-009,true
UNKNOWN-L30,Histórico não carrega dados do último treino longo [11],Alto,A flag de 'Negative Split alcançado' está acendendo mesmo quando a segunda metade da corrida foi 2 segundos mais lenta.,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,unknown,unknown,Perda de Precisão de Float,unknown,Análise de Negative Split,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,30,CL-003,DF-003,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Análise De Negative Split · quebras visuais,28,HY-003,Mecanismo plausível ligado a implementation no cluster Análise De Negative Split · quebras visuais.,AC-007|AC-008|AC-009,true
UNKNOWN-L31,App crasha ao finalizar treino intervalado de pista [14],critical,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,31,CL-002,DF-002,high,visual,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L32,Histórico não carrega dados do último treino longo [16],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Fechado,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,32,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L33,Sincronização com Strava falha silenciosamente [17],Alto,A flag de 'Negative Split alcançado' está acendendo mesmo quando a segunda metade da corrida foi 2 segundos mais lenta.,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,unknown,unknown,Perda de Precisão de Float,unknown,Análise de Negative Split,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,33,CL-003,DF-003,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Análise De Negative Split · quebras visuais,28,HY-003,Mecanismo plausível ligado a implementation no cluster Análise De Negative Split · quebras visuais.,AC-007|AC-008|AC-009,true
UNKNOWN-L34,Distância total diverge em 300m comparado ao relógio [27],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Permissão de Localização (OS),unknown,Rastreamento GPS,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,34,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
