bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference
RUN-1023,Flexbox com devicePixelRatio,Alto,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falha no State Management,UI Components,Pace Display,HMG,Fechado,2026-06-15,2026-06-20,2026-06-22,no,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1023
RUN-1026,Cache com respostas de erro,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Em Análise,2026-06-15,2026-06-20,Bug,no,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1026
RUN-1030,Resultado de busca não validado,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1030
RUN-1031,Android 12+ notificação,Crítico,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1031
RUN-1033,Float32 vs Float64,Alto,Perda de precisão de float no cálculo de pace médio causa detecção errônea de negative split,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Perda de Precisão de Float,Data Processing,Pace Calculation,PRD,Fechado,2026-06-15,2026-06-20,2026-06-22,no,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,1.2.3,Backend,TRACK-1033
RUN-1038,iOS 14+ nega localização,Médio,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Permissão de Localização (OS),UI Components,Pace Display,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1038
RUN-1040,Modo offline não funciona,Médio,Component não preserva estado durante rotação causando desalinhamento do layout,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,UI Components,Pace Display,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Ajuste no flexbox.,Reportado via teste exploratório.,1.2.3,Frontend,TRACK-1040
RUN-1041,API timeout sem fallback,Crítico,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1041
RUN-1044,Manifest desatualizado,Crítico,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Reaberto,2026-06-15,2026-06-20,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1044
RUN-1046,User nega permissão,Crítico,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1046
RUN-1057,Latência de rede spike,Crítico,O cluster retorna timeout durante operações de sincronização em background,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Backend,Location Services,PRD,Reaberto,2026-06-15,2026-06-20,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Backend,TRACK-1057
RUN-1062,Treino não sincroniza após falha,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,Bug,no,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1062
RUN-1064,Cards renderizados não detectados,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Em Análise,2026-06-15,2026-06-20,Bug,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1064
RUN-1066,Memory leak em goroutine,Alto,Cluster retorna timeout durante sincronização com API de terceiros,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Timeout no Cluster,Backend,Strava Sync,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1066
RUN-1068,Query N+1 não otimizada,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 12; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1069,Backend timeout,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1070,Container existe mas cards não são validados,Alto,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,no,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1010,Banker rounding,Médio,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1011,Timezone offset,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1014,Sincronização presa,Crítico,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,no,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1016,Strava retorna 429 sem retry,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,PRD,Fechado,Bug,Bug,Bug,no,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1017,Leap second database,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1027,SO mata background GPS,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1029,Integer underflow,Médio,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1035,Script não espera networkidle,Médio,Bug,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,Bug,Bug,Bug
RUN-1039,Dados locais não sincronizam,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,HMG,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1045,Timeout Cypress na validação com paginação,Médio,Bug,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),Bug,Bug,HMG,Reaberto,Bug,Bug,Bug,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,Bug,Bug,Bug
RUN-1047,Loading infinito em Strava,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 13; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1048,Negative split falso,Médio,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1050,Cluster retorna 504,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1051,Foreground service faltando,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1052,Permissão negada sem retry,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1053,Split com precisão baixa,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1054,Framework iOS veta,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1055,Background modes não atualizada,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1056,Duração perde precisão,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1058,Timeout em coleta GPS,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1063,Pace médio incorreto,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1067,Cadência perde precisão,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 13; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1002,Permissão negada pós-upgrade,Médio,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Permissão de Localização (OS),Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,yes,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1006,Treino preso localmente,Crítico,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1009,Sincronização com timeout,Crítico,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Timeout no Cluster,Bug,Bug,HMG,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1015,Rate limit sem recuperação,Crítico,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,HMG,Reaberto,Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1018,Distância com float32,Alto,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,no,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1019,Elevação perde precisão,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Fechado,Bug,Bug,Bug,no,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
